,handle,solvedCount,class,tier,ratingByProblemsSum,university
83,dgrme21,68,2,7,254,DGIST
84,kjkj0513,80,2,7,243,DGIST
85,k_dong_h,78,1,7,268,DGIST
86,yanghj0911,101,1,7,253,DGIST
87,twilight_lily,63,2,7,231,DGIST
88,kheo1772,81,1,7,229,DGIST
89,jebin31,44,0,7,270,DGIST
90,hjungwon034,70,1,6,204,DGIST
91,psm7177,50,1,6,195,DGIST
92,kim0620,73,1,6,175,DGIST
93,dgjoonho,65,1,6,163,DGIST
94,kirito987,62,1,6,156,DGIST
95,kimcj5434,36,1,6,164,DGIST
96,scvdec,35,0,6,190,DGIST
97,10thddl04,51,1,6,137,DGIST
98,good54826,41,1,6,143,DGIST
99,dydtjrdl,54,1,5,133,DGIST
100,tree919,55,1,5,131,DGIST
101,cahbacnd1357,52,0,5,148,DGIST
102,gudens0823,38,0,5,156,DGIST
103,plmko12521,51,1,5,116,DGIST
104,kjh060506,53,1,5,110,DGIST
105,kastro1030,31,0,5,134,DGIST
106,passion4te,36,1,4,91,DGIST
107,ogimi43,46,1,4,75,DGIST
108,jjhjhj69,27,0,4,102,DGIST
109,shl0216,22,0,3,93,DGIST
110,yj100520,24,0,3,88,DGIST
111,janghowoo,23,0,3,82,DGIST
112,kjhp02,27,1,3,47,DGIST
113,hahakimmin,30,1,3,43,DGIST
114,jychoi0707,34,1,2,37,DGIST
115,r3c0d3r,19,0,1,34,DGIST
116,summerj2,12,0,1,40,DGIST
117,jisu,23,0,1,30,DGIST
118,grapefruit,19,0,1,23,DGIST
119,jsb4058,7,0,1,31,DGIST
120,sksla3467,3,0,0,17,DGIST
121,rsray,8,0,0,8,DGIST
122,ssbnn,2,0,0,2,DGIST
123,kimds040403,0,0,0,0,DGIST
124,minsng_k,0,0,0,0,DGIST
125,panix31,0,0,0,0,DGIST
126,koosaga,13287,10,31,2861,KAIST
127,moonrabbit2,1443,10,31,2676,KAIST
128,serin,1586,10,31,2660,KAIST
129,gs18115,1135,10,31,2651,KAIST
130,mhy908,803,10,31,2604,KAIST
131,utilforever,3639,8,31,2617,KAIST
132,jh05013,6562,10,31,2554,KAIST
133,onjo0127,2506,10,30,2538,KAIST
134,topology,1228,8,29,2508,KAIST
135,flappybird,951,8,28,2464,KAIST
136,maruii,634,5,28,2460,KAIST
137,azberjibiou,1523,9,28,2412,KAIST
138,ho94949,3264,8,27,2402,KAIST
139,sjimed,829,9,27,2387,KAIST
140,alex9801,4632,9,26,2345,KAIST
141,pentagon03,2208,9,26,2336,KAIST
142,leejseo,1193,8,26,2340,KAIST
143,ibm2006,845,8,26,2338,KAIST
144,kimjihoon,1791,7,26,2358,KAIST
145,choisang0826,4059,10,26,2293,KAIST
146,psb0623,655,9,26,2313,KAIST
147,MenOfPassion,5165,9,26,2300,KAIST
148,hellogaon,3618,9,26,2278,KAIST
149,ahgus89,880,8,26,2275,KAIST
150,surface_03,693,6,26,2297,KAIST
151,yj10516,984,8,26,2276,KAIST
152,retro3014,663,8,25,2273,KAIST
153,Diuven,1083,8,25,2252,KAIST
154,jsch,1136,7,25,2260,KAIST
155,gs15120,1436,9,25,2225,KAIST
156,kskim90,2509,8,25,2216,KAIST
157,eaststar,1770,7,25,2222,KAIST
158,runnie0427,2046,8,25,2208,KAIST
159,bomul1128,2261,8,25,2201,KAIST
160,WeissBlume,3412,8,25,2197,KAIST
161,jbs30_jsh,1000,6,25,2211,KAIST
162,sean9892,1408,8,25,2187,KAIST
163,jaydoubluel,1069,1,25,2412,KAIST
164,jihoon,1337,8,24,2174,KAIST
165,fefe,462,8,24,2185,KAIST
166,sedev57,681,7,24,2157,KAIST
167,jiminp,2233,7,24,2138,KAIST
168,sean617,1424,8,24,2126,KAIST
169,tae826,1407,8,24,2111,KAIST
170,choyi0521,1142,6,24,2154,KAIST
171,abra_stone,1204,6,24,2124,KAIST
172,juney,502,7,24,2112,KAIST
173,octane,765,8,24,2085,KAIST
174,easrui,524,1,23,2255,KAIST
175,imkavin43,1092,6,23,2055,KAIST
176,tncks0121,1711,6,23,2077,KAIST
177,powergee,1477,8,23,2031,KAIST
178,unwnsgk1282,798,7,23,2038,KAIST
179,parkky,2725,6,23,2037,KAIST
180,sunho0371,838,8,23,2037,KAIST
181,king114,301,8,23,2041,KAIST
182,arjasc521,930,6,23,2025,KAIST
183,pch6828,1570,7,22,1974,KAIST
184,inhyuk05,968,7,22,1968,KAIST
185,hwpark12,1356,6,22,1947,KAIST
186,hbg1345,939,7,22,1935,KAIST
187,hun3555,1249,6,22,1930,KAIST
188,asdjke,916,4,22,2014,KAIST
189,thahn106,2694,7,22,1924,KAIST
190,dyim0403,2451,7,22,1897,KAIST
191,karasuta,355,6,22,1931,KAIST
192,hyakintoss,2757,7,22,1912,KAIST
193,messi,441,0,22,2121,KAIST
194,choiking10,1346,6,22,1916,KAIST
195,chan4928,1239,5,22,1925,KAIST
196,inhibitor,492,8,22,1910,KAIST
197,fromis_9,1920,5,21,1922,KAIST
198,eunsoo0607,859,6,21,1889,KAIST
199,khk080618,661,7,21,1882,KAIST
200,repelit,1170,7,21,1875,KAIST
201,cloudholic,131,0,21,2179,KAIST
202,junhopark,179,7,21,1948,KAIST
203,4011hjs,1781,6,21,1892,KAIST
204,qawbecrdtey,2942,7,21,1864,KAIST
205,acskr,358,7,21,1873,KAIST
206,ksj614,2453,7,21,1833,KAIST
207,gbs16_dohyun,573,7,21,1834,KAIST
208,buttercrab,713,6,21,1852,KAIST
209,pyeong,973,7,21,1821,KAIST
210,manybirds,413,7,21,1841,KAIST
211,platinant,379,5,21,1883,KAIST
212,20210805,2178,6,21,1811,KAIST
213,seonh4996,1105,7,21,1795,KAIST
214,kimht0830,649,7,21,1794,KAIST
215,mon_de2738,810,6,21,1800,KAIST
216,povwhm,625,0,21,2031,KAIST
217,battlekjh,536,7,21,1819,KAIST
218,gs16109,607,6,20,1780,KAIST
219,yous,843,6,20,1769,KAIST
220,akwkek11,607,5,20,1781,KAIST
221,hxgn0221,666,5,20,1777,KAIST
222,protalk,1853,6,20,1742,KAIST
223,wwiiiii,651,4,20,1831,KAIST
224,ababc1005,477,5,20,1749,KAIST
225,drash99,356,7,20,1735,KAIST
226,sunghyeck17,968,6,20,1715,KAIST
227,jung2381187,1244,4,20,1772,KAIST
228,lcr7324,1841,6,20,1713,KAIST
229,limepencil,1429,5,20,1704,KAIST
230,junk06,654,5,19,1703,KAIST
231,y305205,1355,5,19,1687,KAIST
232,young1023,464,6,19,1694,KAIST
233,chpark1111,456,1,19,1875,KAIST
234,gs21093,426,5,19,1702,KAIST
235,ai4youej,2394,4,19,1720,KAIST
236,eontxl,219,6,19,1707,KAIST
237,jihookang,397,6,19,1675,KAIST
238,geon6757,359,0,19,1898,KAIST
239,jaegoomon,362,5,19,1705,KAIST
240,minpago,993,3,19,1755,KAIST
241,justinwk,498,3,19,1782,KAIST
242,gauss148,628,3,19,1775,KAIST
243,setsuna,798,5,19,1644,KAIST
244,faang12594,6132,5,19,1635,KAIST
245,loveleesj,548,6,19,1630,KAIST
246,kong_22,513,6,19,1625,KAIST
247,surkitz,327,5,18,1623,KAIST
248,kaist19,665,5,18,1604,KAIST
249,jang718,573,4,18,1663,KAIST
250,scott0202,328,6,18,1599,KAIST
251,books1234,602,6,18,1571,KAIST
252,kkm0476,454,4,18,1641,KAIST
253,mapsosa,777,5,18,1571,KAIST
254,uncertainty,418,6,18,1577,KAIST
255,dezavva,455,5,18,1607,KAIST
256,hyeonguk,574,4,18,1643,KAIST
257,jwpee,255,6,18,1606,KAIST
258,fqqwet,135,0,18,1852,KAIST
259,iriszero,527,1,18,1749,KAIST
260,gun1120,465,5,18,1569,KAIST
261,kaname_madoka,680,5,18,1550,KAIST
262,tsiak,407,4,18,1589,KAIST
263,pcw109550,726,4,18,1592,KAIST
264,byungkyu,152,0,18,1818,KAIST
265,skyload96,179,8,18,1572,KAIST
266,kippem9088,757,6,18,1498,KAIST
267,old_man_and_the_sea,405,5,17,1515,KAIST
268,bluesther,434,4,17,1539,KAIST
269,diamondcubic,319,5,17,1489,KAIST
270,blackkarn,734,5,17,1433,KAIST
271,kevin1211,460,4,17,1482,KAIST
272,champiuned12,428,5,17,1445,KAIST
273,jong_p,336,5,17,1453,KAIST
274,sukkie95,273,4,17,1487,KAIST
275,jhpark0314,806,5,17,1413,KAIST
276,jazzdosa,552,5,17,1407,KAIST
277,n1net4il,130,5,17,1486,KAIST
278,lvalue,188,1,17,1610,KAIST
279,kim_sang_oh,329,5,17,1405,KAIST
280,sang990701,398,5,16,1396,KAIST
281,yeongh,273,5,16,1379,KAIST
282,qkrclrl701,977,4,16,1403,KAIST
283,h2oche,278,3,16,1492,KAIST
284,roonm813,236,4,16,1448,KAIST
285,ohwi,359,5,16,1371,KAIST
286,alperatz,181,0,16,1601,KAIST
287,danp,440,5,16,1357,KAIST
288,pjjkey,335,4,16,1409,KAIST
289,studioh,318,3,16,1472,KAIST
290,lkj1016,240,5,16,1388,KAIST
291,hodduc,206,0,16,1593,KAIST
292,overflow218,335,5,16,1365,KAIST
293,yjw530,354,5,16,1360,KAIST
294,jsong0327,327,5,16,1363,KAIST
295,l2zz,398,5,16,1352,KAIST
296,lhs0314,345,4,16,1408,KAIST
297,kbg06163,391,4,16,1400,KAIST
298,3846chs,356,4,16,1395,KAIST
299,hwangjemin,381,4,16,1379,KAIST
300,syoh0708,407,4,16,1372,KAIST
301,hhosu107,522,5,16,1312,KAIST
302,david4008,474,5,16,1308,KAIST
303,boxer1532,891,4,16,1341,KAIST
304,ghkoh_97,194,5,16,1352,KAIST
305,jina1206,324,4,16,1366,KAIST
306,didgogns,230,1,16,1496,KAIST
307,dylon133,603,5,16,1276,KAIST
308,ehdtjskaqhd,355,1,16,1474,KAIST
309,reenact,372,4,16,1320,KAIST
310,no_nick,376,5,16,1292,KAIST
311,spire99,347,4,16,1343,KAIST
312,wogud9019,371,5,16,1289,KAIST
313,oblige,305,5,16,1289,KAIST
314,magatonman,360,4,16,1321,KAIST
315,dhdhkeh1,458,3,16,1373,KAIST
316,jih7368,462,5,16,1272,KAIST
317,krst50,520,4,16,1309,KAIST
318,henongod,224,1,16,1451,KAIST
319,wonseo8,282,5,16,1285,KAIST
320,k5nen,747,3,16,1344,KAIST
321,ys05010,269,5,16,1284,KAIST
322,harry2636,345,4,16,1318,KAIST
323,sdy992000,130,5,16,1321,KAIST
324,fercury,328,5,16,1261,KAIST
325,quantum2718,226,4,16,1332,KAIST
326,eric318,223,5,15,1274,KAIST
327,lomotos10,709,4,15,1269,KAIST
328,aasr4r4,431,3,15,1326,KAIST
329,gagu1999,669,4,15,1257,KAIST
330,taegu0305,235,4,15,1304,KAIST
331,ska1xo2dnd3,366,4,15,1268,KAIST
332,liargames2002,214,5,15,1247,KAIST
333,sysl6646,124,0,15,1476,KAIST
334,reproducepark,134,5,15,1269,KAIST
335,csnl,300,4,15,1265,KAIST
336,lmn1349,217,5,15,1232,KAIST
337,jhs7jhs,149,0,15,1441,KAIST
338,dbtmdrhs4,280,4,15,1248,KAIST
339,cmkang8128,816,3,15,1255,KAIST
340,prime73,277,4,15,1243,KAIST
341,smsterry,152,5,15,1227,KAIST
342,starjrm00,726,3,15,1247,KAIST
343,cubeprince,203,4,15,1253,KAIST
344,etaehyun4,204,1,15,1370,KAIST
345,kyoonji1121,249,4,15,1226,KAIST
346,rby011,242,4,15,1215,KAIST
347,lucidash,331,1,15,1316,KAIST
348,pkh31337,287,4,15,1197,KAIST
349,xbfld,290,4,15,1194,KAIST
350,jinsol5571,157,4,15,1230,KAIST
351,gum1103,148,0,15,1377,KAIST
352,ddw02141,168,0,15,1363,KAIST
353,ryuye21,274,4,15,1178,KAIST
354,cwyang,426,4,15,1154,KAIST
355,wijae,170,0,15,1357,KAIST
356,jidnjs,310,2,15,1255,KAIST
357,yoonoh0424,342,4,15,1147,KAIST
358,99jaehyunlee,337,3,15,1192,KAIST
359,yujin_a,240,4,15,1161,KAIST
360,elwerks0364,217,4,15,1166,KAIST
361,mindol_run,156,0,15,1333,KAIST
362,pjh0490,176,4,15,1163,KAIST
363,w8jin,144,4,15,1174,KAIST
364,ehdals56,302,3,15,1170,KAIST
365,jeuk23,273,4,14,1118,KAIST
366,overdose123abc,179,4,14,1144,KAIST
367,kisukim,426,4,14,1093,KAIST
368,onsil,312,3,14,1154,KAIST
369,jyjy1229,292,3,14,1142,KAIST
370,skkiss98,358,3,14,1124,KAIST
371,jahii,273,4,14,1093,KAIST
372,pswoo27,250,4,14,1093,KAIST
373,jilseojigi,423,2,14,1163,KAIST
374,notorioush2,265,3,14,1126,KAIST
375,sbigstar0310,198,5,14,1045,KAIST
376,12dkdl889,195,4,14,1095,KAIST
377,chlee973,285,4,14,1063,KAIST
378,knsol2,194,4,14,1086,KAIST
379,proseuche,254,4,14,1063,KAIST
380,starday456,249,4,14,1054,KAIST
381,circlecho,298,4,14,1038,KAIST
382,doubleyyh,219,4,14,1048,KAIST
383,robinkimsk,130,4,14,1074,KAIST
384,thdwogns0504,245,4,14,1031,KAIST
385,seayurre16,347,3,14,1059,KAIST
386,gongsoonyee,765,3,14,1024,KAIST
387,jeong0982,89,5,14,1023,KAIST
388,jw950310,187,2,14,1123,KAIST
389,injoon0617,694,3,14,1008,KAIST
390,snowbj,356,3,14,1032,KAIST
391,hoseong,242,4,14,1004,KAIST
392,athexplorer,195,3,14,1067,KAIST
393,dnfzja1213,114,3,14,1100,KAIST
394,ruddnrdl,128,3,14,1089,KAIST
395,urwrstnightmare,151,2,14,1115,KAIST
396,lsl4497,179,4,14,1003,KAIST
397,jy1559,213,4,14,991,KAIST
398,azurewings,237,4,14,982,KAIST
399,lcs5382,259,3,14,1023,KAIST
400,bombard1004,95,0,13,1176,KAIST
401,s8ngyu,304,3,13,999,KAIST
402,seungjaelim,283,3,13,998,KAIST
403,psmdc0714,330,3,13,988,KAIST
404,smpak,244,3,13,1002,KAIST
405,koj1134,286,3,13,982,KAIST
406,alkyne,445,3,13,954,KAIST
407,gimhaeno,259,3,13,983,KAIST
408,hyenne,159,1,13,1089,KAIST
409,kaistray,107,0,13,1137,KAIST
410,myu0125,249,4,13,935,KAIST
411,onelife0985,239,2,13,1036,KAIST
412,pianojay,395,3,13,953,KAIST
413,jhj09016,209,3,13,987,KAIST
414,twkim7683,342,3,13,956,KAIST
415,yuuetu1234,229,4,13,928,KAIST
416,cyron1259,181,1,13,1055,KAIST
417,wonjunjg,155,3,13,986,KAIST
418,r12l25a,613,3,13,911,KAIST
419,702fbtngus,398,2,13,976,KAIST
420,alisonyang,268,2,13,991,KAIST
421,cyhs9120,225,3,13,952,KAIST
422,chltjrwns1gh,529,3,13,904,KAIST
423,lentti,304,3,13,930,KAIST
424,shpaul2001,122,3,13,986,KAIST
425,cubemine,212,4,13,896,KAIST
426,start0821,197,3,13,949,KAIST
427,riella98,231,3,13,927,KAIST
428,getrusty,152,1,13,1028,KAIST
429,leejydh97,222,4,13,874,KAIST
430,zkvjfhf555,248,2,13,963,KAIST
431,tmdgus8391,254,3,13,905,KAIST
432,wjddbstjr03,178,2,13,975,KAIST
433,burgerokd,168,1,13,1000,KAIST
434,jocelynflores,155,2,13,979,KAIST
435,jongh0327,175,4,13,868,KAIST
436,jsk0821,210,3,13,906,KAIST
437,hwcho123,122,0,13,1039,KAIST
438,satti0605,197,2,13,959,KAIST
439,hsi135944,208,3,13,904,KAIST
440,woo40628,220,3,13,894,KAIST
441,limtsoo,249,2,13,931,KAIST
442,laviande22,226,3,13,881,KAIST
443,ssbin0914,109,4,12,874,KAIST
444,hwangtmdals,304,2,12,910,KAIST
445,koyejune0302,94,0,12,1029,KAIST
446,bangjh0430,293,3,12,854,KAIST
447,q0115643,217,2,12,922,KAIST
448,jhh0406,285,3,12,846,KAIST
449,komstory34,190,3,12,868,KAIST
450,jeinu95,260,3,12,846,KAIST
451,jjm9501,239,3,12,850,KAIST
452,michelle,227,3,12,852,KAIST
453,rjsdn8891,193,3,12,852,KAIST
454,loypyx,138,3,12,862,KAIST
455,jysim07,150,3,12,855,KAIST
456,kjy2844,209,3,12,831,KAIST
457,harry020606,384,2,12,840,KAIST
458,whgustjr302,133,2,12,894,KAIST
459,sallylucky,132,1,12,917,KAIST
460,killerwhalee,168,3,12,825,KAIST
461,cookie000215,114,4,12,796,KAIST
462,wizard,225,2,12,848,KAIST
463,2swj1202,193,2,12,854,KAIST
464,qnq0615,214,2,12,847,KAIST
465,whelming9,222,3,12,786,KAIST
466,dhlim1114,231,2,12,826,KAIST
467,krh2000,147,2,12,855,KAIST
468,hjk9149,189,3,12,786,KAIST
469,fractor,151,3,12,799,KAIST
470,hamainroka,123,1,12,886,KAIST
471,leeerjin,110,4,12,765,KAIST
472,seorii,184,2,12,831,KAIST
473,jakekwon03,103,2,12,860,KAIST
474,minseok21,191,3,12,772,KAIST
475,trick,185,3,12,770,KAIST
476,jh9504,200,2,12,812,KAIST
477,jxxny,204,3,12,754,KAIST
478,ohjh1013,167,2,12,816,KAIST
479,dkw01015,826,1,12,762,KAIST
480,keonly,193,3,12,749,KAIST
481,ljwbj1234,124,2,12,821,KAIST
482,ansony1006,196,2,11,790,KAIST
483,firestar,129,1,11,829,KAIST
484,nagi123,171,2,11,786,KAIST
485,ryujs0520,178,2,11,777,KAIST
486,wldbs6124,162,3,11,729,KAIST
487,jsh0508,199,2,11,755,KAIST
488,tsxcs,262,2,11,737,KAIST
489,halley,187,3,11,694,KAIST
490,lhw941,152,1,11,782,KAIST
491,0220john,88,3,11,736,KAIST
492,seamus123,153,3,11,692,KAIST
493,verforte,240,3,11,661,KAIST
494,tally,131,3,11,698,KAIST
495,tuktoqo,126,3,11,694,KAIST
496,joonhwi0115,126,2,11,742,KAIST
497,baek2435,126,3,11,691,KAIST
498,jkookhan03,85,4,11,659,KAIST
499,jamesemp,261,3,11,625,KAIST
500,pokko_java,298,2,11,665,KAIST
501,israja5121,240,2,11,667,KAIST
502,thkim0560,79,3,11,680,KAIST
503,shahn523,112,2,11,707,KAIST
504,dayforday,156,2,11,677,KAIST
505,dohyun141,107,0,11,744,KAIST
506,jyl4you,84,0,11,757,KAIST
507,1026minjae,159,2,11,670,KAIST
508,fairy_of_9,100,0,11,743,KAIST
509,gudori888,108,1,11,711,KAIST
510,chase1028,121,1,11,702,KAIST
511,ryanble,86,0,11,744,KAIST
512,yshinobu,183,1,11,675,KAIST
513,hoosong0235,133,2,11,669,KAIST
514,rlaxorud2003,142,2,10,659,KAIST
515,voider01,115,3,10,619,KAIST
516,pms131131,73,1,10,701,KAIST
517,blziiiin,191,2,10,621,KAIST
518,pokko653,210,2,10,608,KAIST
519,staischk,156,2,10,587,KAIST
520,seungwanwin,121,2,10,596,KAIST
521,jinu99,146,2,10,575,KAIST
522,moonx010,681,2,10,489,KAIST
523,ksh3078,104,2,10,572,KAIST
524,overcomplexero,92,1,10,598,KAIST
525,cinescope,102,0,10,615,KAIST
526,balgundae,157,2,10,536,KAIST
527,bugprone,265,1,10,525,KAIST
528,jisoo0725,89,0,10,612,KAIST
529,orca2005,109,2,10,535,KAIST
530,codingskynet,55,0,10,613,KAIST
531,medjnr99,102,2,10,530,KAIST
532,wlsduq37,105,1,10,553,KAIST
533,oceanid2,103,2,9,514,KAIST
534,donghwashin,91,1,9,545,KAIST
535,j31d0,111,1,9,530,KAIST
536,fosemfhtm,109,2,9,500,KAIST
537,daniel1238,59,0,9,578,KAIST
538,jjwwk,91,1,9,521,KAIST
539,jsjclink,83,1,9,514,KAIST
540,mecatos95d,102,1,9,501,KAIST
541,lee617,102,2,9,469,KAIST
542,laga,109,1,9,489,KAIST
543,dkssudgo112,94,1,9,486,KAIST
544,aspiration,135,2,9,429,KAIST
545,balueberry,53,0,9,524,KAIST
546,ernybugi,100,1,9,471,KAIST
547,jaeyoung0909,65,0,9,515,KAIST
548,sonjbin,81,2,9,451,KAIST
549,coi0235,130,1,9,447,KAIST
550,20220529_01,108,2,9,406,KAIST
551,seominnnnnn,126,2,9,395,KAIST
552,hjin725,101,1,9,419,KAIST
553,ces302,138,1,9,401,KAIST
554,chichi,48,3,9,376,KAIST
555,ckdusdn03,80,1,9,429,KAIST
556,kskru7897,97,2,9,393,KAIST
557,ha0811,123,1,9,399,KAIST
558,qldntdma87,86,2,9,394,KAIST
559,wjwc1213,115,1,8,397,KAIST
560,th050111,76,2,8,393,KAIST
561,kfg94,89,1,8,405,KAIST
562,dksrud0907,50,0,8,447,KAIST
563,chase_eagles,48,0,8,448,KAIST
564,joykang71,57,0,8,442,KAIST
565,jungwoo9535,114,1,8,384,KAIST
566,candykjw0316,102,2,8,363,KAIST
567,hanvilck,86,1,8,396,KAIST
568,yj07223543,116,1,8,379,KAIST
569,legojeon,56,0,8,427,KAIST
570,lime_bell,93,2,8,354,KAIST
571,estrella,53,2,8,377,KAIST
572,appleminto,143,1,8,347,KAIST
573,minseob_kim,120,2,8,331,KAIST
574,pswoo0227,80,2,8,347,KAIST
575,gbstinyhippo,54,0,8,411,KAIST
576,okas832,93,1,8,362,KAIST
577,dbals1184,90,2,8,336,KAIST
578,sungjinjjang,34,0,8,420,KAIST
579,jungym887,96,2,8,325,KAIST
580,sambone,35,0,8,408,KAIST
581,ksa37,68,1,8,359,KAIST
582,uniglot,69,2,8,331,KAIST
583,bflying11,91,2,8,316,KAIST
584,jadohu,88,1,8,339,KAIST
585,jpt0927,83,0,8,364,KAIST
586,sml0399,85,1,8,330,KAIST
587,happybox00,75,2,8,305,KAIST
588,coconutpie28,63,0,8,362,KAIST
589,namteasu,83,1,8,320,KAIST
590,hjh010501,43,0,8,369,KAIST
591,outtoin,86,1,8,316,KAIST
592,alphahoon,74,1,7,318,KAIST
593,hjiseong04,102,1,7,301,KAIST
594,ketch,58,0,7,342,KAIST
595,skyljw0714,88,1,7,298,KAIST
596,ff4270,82,2,7,275,KAIST
597,b0sgun,72,1,7,303,KAIST
598,placidmoon1,99,1,7,286,KAIST
599,shyukahn,82,1,7,295,KAIST
600,kadio,30,0,7,351,KAIST
601,hwitticus,72,1,7,283,KAIST
602,wogh4528,38,0,7,323,KAIST
603,andy2884,44,0,7,317,KAIST
604,purplecharm,29,0,7,327,KAIST
605,happychild,72,1,7,270,KAIST
606,jaihuni,58,1,7,261,KAIST
607,vista,86,1,7,242,KAIST
608,sehoon1106,63,2,7,230,KAIST
609,wlgml0920,29,0,7,302,KAIST
610,chundomu0612,69,1,7,247,KAIST
611,yo_on,87,1,7,234,KAIST
612,jmhoo0618,31,2,7,244,KAIST
613,dongkuk4888,74,1,7,237,KAIST
614,ggcc503,43,0,7,281,KAIST
615,shinhyuk1001,62,1,7,241,KAIST
616,geokim365,115,1,7,209,KAIST
617,youjhun0225,86,1,7,225,KAIST
618,apiacere,62,1,7,228,KAIST
619,jeejee,31,0,6,274,KAIST
620,yjhwang04,72,1,6,206,KAIST
621,pjelly,72,1,6,204,KAIST
622,jsanghyun97,53,1,6,212,KAIST
623,mj45,50,2,6,189,KAIST
624,soushirou,69,1,6,198,KAIST
625,greatseone95,48,0,6,236,KAIST
626,jayherh,66,1,6,199,KAIST
627,ocial,65,1,6,199,KAIST
628,ian616,22,0,6,254,KAIST
629,dglee2007,36,0,6,240,KAIST
630,ancom21c,22,0,6,250,KAIST
631,mcsj1004,48,0,6,228,KAIST
632,seungan1419,42,2,6,181,KAIST
633,jh030730,71,1,6,181,KAIST
634,papaking67,61,1,6,184,KAIST
635,qwerasdfzx,43,2,6,170,KAIST
636,mir7020,31,0,6,221,KAIST
637,skload,30,0,6,222,KAIST
638,wjdwodnjs147,33,0,6,218,KAIST
639,taegun0910,82,1,6,159,KAIST
640,jiwon58,64,1,6,161,KAIST
641,yangse0101,53,1,6,167,KAIST
642,chawheel0221,63,1,6,160,KAIST
643,hyeonjeong1,19,0,6,213,KAIST
644,tnsrb0626,44,1,6,156,KAIST
645,ddenggom,64,1,6,139,KAIST
646,deepkyu,54,1,6,145,KAIST
647,szx775151,49,1,6,145,KAIST
648,hoosong0235python,30,0,6,180,KAIST
649,bluerabbit,42,0,5,163,KAIST
650,taew1115,55,1,5,129,KAIST
651,polar0202,36,0,5,166,KAIST
